rep,model_name,feature_split_col,train_size,train_ratio_detail,test_size,test_ratio_detail,accuracy,f1_score,eo_diff,train_ratio_rel,test_ratio_rel,train_ratio,test_ratio
2,xception,sex,5000,male:0.1/female:0.9,500,male:0.5/female:0.5,0.758,0.7579525587015055,0.28,female:0.9000/male:0.1000,male:0.5000/female:0.5000,1/9,5/5
2,xception,sex,5000,male:0.1/female:0.9,500,male:0.7/female:0.3,0.736,0.7359831029185868,0.23238095238095235,female:0.9000/male:0.1000,male:0.7000/female:0.3000,1/9,7/3
2,xception,sex,5000,male:0.1/female:0.9,500,male:0.9/female:0.1,0.704,0.7039810547875063,0.27555555555555555,female:0.9000/male:0.1000,male:0.9000/female:0.1000,1/9,9/1
2,xception,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,0.82,0.8199971199539193,0.07111111111111112,male:0.5000/female:0.5000,female:0.9000/male:0.1000,5/5,1/9
2,xception,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,0.822,0.8219651051606113,0.04571428571428571,male:0.5000/female:0.5000,female:0.7000/male:0.3000,5/5,3/7
2,xception,sex,5000,male:0.5/female:0.5,500,male:0.5/female:0.5,0.82,0.8199740762669825,0.064,male:0.5000/female:0.5000,female:0.5000/male:0.5000,5/5,5/5
2,xception,sex,5000,male:0.5/female:0.5,500,male:0.7/female:0.3,0.826,0.8259658893143055,0.13142857142857145,male:0.5000/female:0.5000,male:0.7000/female:0.3000,5/5,7/3
2,xception,sex,5000,male:0.5/female:0.5,500,male:0.9/female:0.1,0.862,0.8619552735086168,0.09333333333333338,male:0.5000/female:0.5000,male:0.9000/female:0.1000,5/5,9/1
3,xception,sex,5000,male:0.1/female:0.9,500,male:0.1/female:0.9,0.816,0.8159263705482193,0.17333333333333334,female:0.9000/male:0.1000,female:0.9000/male:0.1000,1/9,1/9
3,xception,sex,5000,male:0.1/female:0.9,500,male:0.3/female:0.7,0.802,0.8019928717433829,0.14666666666666664,female:0.9000/male:0.1000,female:0.7000/male:0.3000,1/9,3/7
3,xception,sex,5000,male:0.1/female:0.9,500,male:0.5/female:0.5,0.756,0.7559648589396872,0.17599999999999996,female:0.9000/male:0.1000,female:0.5000/male:0.5000,1/9,5/5
3,xception,sex,5000,male:0.1/female:0.9,500,male:0.7/female:0.3,0.736,0.7359619785249076,0.14666666666666667,female:0.9000/male:0.1000,male:0.7000/female:0.3000,1/9,7/3
3,xception,sex,5000,male:0.1/female:0.9,500,male:0.9/female:0.1,0.716,0.7159590981101278,0.08000000000000007,female:0.9000/male:0.1000,male:0.9000/female:0.1000,1/9,9/1
3,xception,sex,5000,male:0.5/female:0.5,500,male:0.1/female:0.9,0.814,0.8139992559970239,0.026666666666666616,male:0.5000/female:0.5000,female:0.9000/male:0.1000,5/5,1/9
3,xception,sex,5000,male:0.5/female:0.5,500,male:0.3/female:0.7,0.802,0.8019992079968321,0.057142857142857134,male:0.5000/female:0.5000,female:0.7000/male:0.3000,5/5,3/7
